Index,Term
1,মন কি
2,২+২ ?
3,২+২ কগ
4,আমি কে
5,কি করো
6,বলব না
7,কেমন ?
8,কি খবর
9,কি কর?
10,Fdr কি
11,নাম কি
12,ও তাই?
13,তনয় কে
14,আর কত?
15, X কে?
16,মাছ কি
17,৫+৫ কত
18,কে আমি
19,বাল কি
20,আমার ব
21,তুই কি
22,কথা বল
23,তোর মা
24,কী কর?
25,নসু কি
26,রাত কি
27,ক স্বর
28,সি ++ 
29,কী খবর
30,বাঘ কি
31,পাদ কী
32,সময় কি
33,২+২ কত
34,তুই কে
35,২+২ কি
36,বাল হই
37,চটি কি
38,তুমি ট
39,চুপ কর
40,এটা কি
41,গুদ কি
42,আইন কি
43,কাজ কি
44,ওহম ল 
45,জি চাই
46,শবর পা
47,শরহ পা
48,গু কি?
49,গজল কি
50,ফাক ইউ
51,আমি কি
52,বল- ধন
53,৫+৫ =?
54,আরও বল
55,কি খাব
56,কি কি 
57,কবি কে
58,রনি কে
59,হা হা 
60,নাম কী
61,ভাল না
62,হয় নাই
63,বল কী?
64,কি বলে
65,জর রোগ
66,বংশ কী
67,পাদ কি
68,চুদ কি
69,কি kor
70,কি রে?
71,জিন কি
72,ন জানি
73,শুভ কে
74,ডিক কী
75,apni k
76,আম কী?
77,কি হল 
78,সে কে?
79,ISS কি
80,UIU কি
81,এটা কী
82,তাল কি
83,ইদ কবে
84,হা দেন
85,ইভা কে
86,gf nei
87,আ  কি?
88,Un কি?
89,এটি কি
90,বৌ চাই
91,Bhai 😢
92,আপু ? 
93,কোষ কি
94,বুব কি
95,কি খাও
96,ভাত খা
97,বাল কী
98,আমি ক?
99,বই নগর
100,জনি কে
101,ইগো কি
102,কী গো?
103,জলি কে
104,আলু কি
105,কি করব
106,বল কি?
107,সাব কে
108,হেউ না
109,জীম কে
110,2+2 কত
111,খবর কি
112,সাফ কি
113,না নেই
114,কী করছ
115,ভেপ কি
116,জোস তো
117,তো এখন
118,উদয় কে
119,গুড জব
120,কি ভাই
121,মা কি?
122,BTS কি
123,কী কি?
124,২+২ =৫
125,গরু কি
126,আমি কে?
127,২+৫ = ?
128,হাহা কি
129, বাল কি
130,কি খবর?
131,কে তুমি
132,হুম চাই
133,আপনি কে
134,যোনি কি
135,IHE কী?
136,IML কী?
137,বলবো না
138,তুমি কে
139,কী করছো
140,ঘন সবজি
141,সানু কে
142,ভাই বোন
143,কিছু না
144,কি কর? 
145,কি করো?
146,তুই কে?
147,চটি কি?
148,কই থাকো
149,বেদ কি 
150,কি করেন
151,কে আপনি
152,ভালো না
153,মানে কি
154,গুদ কি?
155,এ সি আই
156,এ আই কি
157,আবিদ কে
158,আরিন কে
159,সৌরভ কে
160,জানি না
161,কি করো 
162,বিং কি?
163,বোকা চো
164,মেটা কি
165,গৌরব কে
166,গরু কি?
167,কেমন আছ
168,কি খবর.
169,আমি কে 
170, কী কর 
171,বাল কি?
172,পথ চারী
173,তমি কে?
174,কি খবর 
175,ভূত কী?
176,ইদ কবে?
177, পপি কে
178,হোগা কী
179,ভোদা কী
180,নুনু খা
181,কে তুই?
182,ঠিক আছে
183,জীবন কি
184,রনি কে?
185,নাসা কি
186,জিকে কি
187,বালা নি
188,গুগল কি
189,কি বরো 
190,তুমি কি
191,কোড় লিখ
192,কি খবড়?
193,গুগল কী
194,আবাল কি
195,ভাল তো?
196,কি করছ?
197,হেডা কি
198,বাড়ি কই
199,পাপন কে
200,চোদা কি
201,কে আদিল
202,ইসকন কি
203,আমি কবি
204, সরল কর
205,পোদ কি?
206,বুঝি না
207,বলদ কে?
208,২ + ২=?
209,সমাজ কি
210,সমাস কি
211,হিমু কে
212,ভাল না 
213,টাকা কি
214,হোগা কি
215,পাখি কি
216,আপেল কি
217,নাম কি?
218,বাড়ি যা
219,ধুর বাল
220,C++ কি?
221,ধোন কি?
222,কাক আঁক
223,মাং কি?
224,জন সিনা
225,জিবন কি
226,এক্স কে
227,গাছ কি?
228,বলদ কি?
229,আছা আছা
230,কনডম কি
231,আছি ভাল
232,আপনি যে
233,কি করছো
234,গজল লেখ
235,বান চুত
236,খাস ফুড
237,sex কি 
238,বাল কি 
239,চুদো কি
240,লুপ কি?
241,তোর বাল
242,আচরণ কি
243,ওই কেডা
244,এই মাগি
245,মিলন কি
246,ডগ ফুডস
247,মিম কে?
248,এটা কি?
249,২+২ কত?
250,টিয়া কি
251,তাশি কে
252,কেমন আস
253,জাভা কি
254,কাজ কি?
255,নুনু কি
256,ছড়া লীখ
257,আম খাবো
258,কী করব 
259,কি বলব?
260,মিতু কে
261,মিনু কে
262,ভাল আছি
263,জি ভালো
264,কথা বলো
265,দূর মাং
266,গান কি?
267,৫+৫ কত?
268,অপার কে
269,বলো ওহে
270,চোদ গা।
271,সাগর কী
272,আমি সেই
273,সোনা কি
274,Css কোড
275,গল্প কি
276,কলম কি 
277,কেন আছো
278,চুদা কি
279,আমার মা
280,চুপ থাক
281,নীল ছবি
282,কাজ কি 
283,কি  করো
284,এ আই টি
285,হয় নাই 
286,টাক কী?
287,সুনা কি
288,৫+৬ = ?
289,৫-৬ = ?
290,৫*৬ = ?
291,শচীন কে
292,ধান কি?
293,বনি কে 
294,চর জংলি
295,চহি কে?
296,তুমি কী
297,জোকস বল
298,এক্স কি
299,গরু কী?
300,আরও বল 
301,আপনি কী
302,Vbd  কি
303,কী খবর?
304,হমৈ কি?
305,ভুল বলো
306,মাং খাও
307,ফাক ইয়ও
308,ভাল নাই
309,apni ke
310,Ki kro 
311,জ্বর কী
312,id kobe
313,Ke tumi
314,No help
315,২+১ =? 
316,bisi es
317,৫+৩ কত?
318,মাগি কি
319,Tumi ke
320,hey man
321,খবর কী?
322,#chat 💔
323,ঘেউ ঘেউ
324,ফতা কি?
325,Ki koro
326,ami ke?
327,Fuck of
328,দুধ হবে
329,ki beta
330,কুল বরই
331,nai kaj
